unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790233317179,10776576,4280320,178,20
1790233318223,60551168,43397120,216,37
1790233319246,180285440,164282368,216,37
1790233320274,173961216,160776192,230,50
1790233321293,158224384,141635584,216,50
1790233322307,172560384,160731136,238,50
1790233323329,175706112,156377088,222,50
1790233324366,185810944,182747136,242,50
1790233325388,157212672,137826304,242,50
1790233326425,184770560,169922560,246,50
1790233327437,176484352,157704192,241,50
1790233328466,179007488,167124992,246,50
1790233329491,177807360,162025472,245,50
1790233330513,191033344,182489088,253,57
1790233331537,179945472,161796096,239,57
1790233332564,185954304,171040768,255,57
1790233333582,178442240,160862208,245,57
1790233334595,179945472,161468416,239,57
1790233335634,186515456,170344448,255,57
1790233336661,177000448,161263616,256,57
1790233337683,192241664,177942528,257,57
1790233338696,173662208,156262400,241,57
1790233339734,197644288,188776448,253,57
1790233340760,185868288,170336256,257,57
1790233341794,194076672,181190656,257,57
1790233342814,180322304,161878016,242,57
1790233343846,186945536,174325760,256,57
1790233344873,181350400,162062336,241,57
1790233345897,185917440,175042560,257,57
1790233346914,181338112,162009088,241,57
1790233347930,190861312,174444544,257,54
1790233348945,159080448,139730944,251,54
1790233349965,182009856,162553856,241,54
1790233350982,153829376,133705728,241,54
1790233351992,153829376,133705728,241,54
1790233353013,153829376,134795264,241,54
1790233354026,153829376,134795264,241,54
1790233355049,153841664,135122944,241,53
1790233356066,153841664,135122944,241,53
1790233357076,153796608,135114752,241,53
1790233358098,153796608,135114752,241,53
1790233359121,153767936,137814016,240,52
