unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790233440781,10719232,4243456,178,20
1790233441817,62275584,45551616,221,42
1790233442829,187404288,172519424,221,42
1790233443846,189620224,158982144,231,45
1790233444864,213463040,191250432,231,45
1790233445894,230588416,219762688,235,45
1790233446909,189128704,160235520,219,45
1790233447931,220835840,201261056,238,46
1790233448949,193826816,164593664,238,46
1790233449971,231571456,209592320,240,46
1790233450988,197267456,167919616,224,46
1790233451996,206077952,175763456,226,46
1790233453005,197509120,168185856,242,46
1790233454013,191451136,161292288,239,46
1790233455032,197378048,168960000,242,47
1790233456040,194633728,164601856,242,47
1790233457058,194347008,163221504,243,47
1790233458078,192327680,161693696,241,47
1790233459094,246300672,231215104,243,47
1790233460104,194961408,166916096,227,47
1790233461120,234438656,218697728,243,47
1790233462130,197722112,167706624,243,47
1790233463153,235921408,213897216,242,47
1790233464173,198029312,169746432,245,47
1790233465182,201035776,171786240,229,47
1790233466206,232488960,213639168,244,47
1790233467225,195387392,164773888,229,47
1790233468237,228675584,207474688,245,47
1790233469254,197013504,167051264,235,47
1790233470274,193806336,162148352,229,47
1790233471281,197165056,169234432,245,44
1790233472305,230662144,218431488,243,44
1790233473329,226349056,204808192,244,44
1790233474346,224583680,206045184,246,44
1790233475368,236478464,226967552,245,44
1790233476388,225456128,207192064,247,44
1790233477411,236634112,222466048,247,44
1790233478429,223211520,203022336,246,44
1790233479447,236240896,218345472,247,44
1790233480461,197730304,167636992,247,44
1790233481486,243752960,222232576,246,44
1790233482506,197513216,168235008,245,44
1790233483529,235847680,223031296,246,44
1790233484539,198270976,169304064,247,44
1790233485566,228769792,212213760,247,44
1790233486583,197677056,166875136,246,44
1790233487589,212733952,182775808,231,44
1790233488610,196685824,166273024,247,44
1790233489619,196005888,164913152,237,44
1790233490631,231632896,214671360,246,44
1790233491653,216260608,201203712,245,44
1790233492680,233242624,215183360,247,44
1790233493692,200060928,169897984,240,44
1790233494716,234217472,217886720,247,44
1790233495730,200785920,170844160,246,44
1790233496757,248594432,238727168,247,44
1790233497775,202645504,173637632,231,44
1790233498802,237060096,228950016,245,44
1790233499831,229380096,212344832,247,44
1790233500856,230899712,210014208,245,44
1790233501877,245047296,228306944,247,44
1790233502893,195555328,165040128,246,44
1790233503910,207511552,176340992,231,44
1790233504927,230883328,206880768,247,44
1790233505936,200376320,171016192,246,44
1790233506948,213741568,184893440,231,44
1790233507967,226189312,212074496,247,44
1790233508985,223715328,204447744,247,44
1790233510008,236904448,225173504,246,44
1790233511018,199520256,170012672,247,44
1790233512031,238997504,231288832,247,44
1790233513048,198221824,167284736,247,44
1790233514053,196784128,166404096,231,44
1790233515071,197013504,165863424,244,44
1790233516090,197206016,168194048,231,44
1790233517114,230117376,208322560,236,44
1790233518136,216412160,192774144,244,44
1790233519161,230285312,209612800,246,44
1790233520174,202440704,173854720,246,44
1790233521200,242814976,221691904,246,44
1790233522214,200581120,171302912,245,44
1790233523232,197410816,167497728,231,44
1790233524255,230150144,212660224,247,44
1790233525269,200548352,173035520,246,44
1790233526293,235540480,209432576,246,44
1790233527305,199155712,169525248,239,44
1790233528331,240828416,230850560,246,44
1790233529348,202444800,173359104,247,44
1790233530365,202813440,172662784,231,44
1790233531385,201379840,172916736,245,44
1790233532409,237449216,225865728,242,44
1790233533424,238804992,220221440,247,44
1790233534443,202473472,173547520,246,44
1790233535466,241741824,222539776,249,46
1790233536480,197971968,167337984,249,46
1790233537486,205660160,174858240,233,46
1790233538495,199004160,167952384,248,46
1790233539513,202670080,175411200,233,46
1790233540527,241799168,226562048,248,46
1790233541551,220868608,195117056,249,46
1790233542572,239312896,225161216,249,46
1790233543592,198455296,167370752,249,46
1790233544615,235266048,215285760,248,46
1790233545631,201138176,171126784,248,46
1790233546656,238563328,227188736,249,46
1790233547675,201003008,170340352,248,46
1790233548702,250617856,249892864,249,46
1790233549718,201961472,173084672,246,46
1790233550739,200499200,171827200,233,46
1790233551749,223842304,200753152,233,46
1790233552773,222834688,201048064,249,46
1790233553796,237723648,219029504,249,46
1790233554818,224927744,201658368,248,46
1790233555839,235954176,217542656,247,46
1790233556852,202526720,175046656,233,46
1790233557865,239276032,216547328,249,46
1790233558881,199352320,169492480,234,46
1790233559907,245473280,237711360,248,46
1790233560928,237182976,214118400,249,46
1790233561948,201752576,171278336,234,46
1790233562965,208318464,181780480,248,46
1790233563980,202121216,173268992,249,46
1790233564993,199593984,169820160,233,46
1790233566009,202866688,173203456,249,46
1790233567022,225394688,205238272,249,46
1790233568051,254976000,248070144,248,46
1790233569059,203509760,173940736,233,46
1790233570077,203509760,173940736,233,46
1790233571091,203509760,173940736,233,46
1790233572107,203509760,173940736,233,46
1790233573122,203509760,173965312,233,46
1790233574131,203558912,173916160,233,45
1790233575138,203558912,173916160,233,45
1790233576158,203558912,173916160,233,45
1790233577169,203538432,173867008,232,44
1790233578175,203538432,173867008,232,44
