unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790233588466,10756096,4259840,178,20
1790233589514,63827968,46845952,221,42
1790233590531,201474048,197505024,219,43
1790233591554,198778880,189554688,227,44
1790233592566,177688576,156798976,238,44
1790233593591,189149184,169578496,216,44
1790233594608,182710272,162566144,216,44
1790233595635,217071616,204173312,233,44
1790233596656,213471232,203280384,234,44
1790233597674,186728448,166416384,236,44
1790233598682,182153216,160366592,235,44
1790233599705,209408000,197910528,236,44
1790233600722,209784832,208412672,241,49
1790233601742,181030912,160587776,227,49
1790233602762,193028096,171188224,227,49
1790233603771,198963200,178937856,227,49
1790233604798,188297216,167325696,227,50
1790233605816,185307136,165453824,231,50
1790233606823,188174336,167948288,231,50
1790233607829,190390272,168787968,231,50
1790233608845,226332672,224501760,246,50
1790233609864,218595328,206020608,246,50
1790233610913,221552640,214671360,246,50
1790233611932,211443712,193081344,248,50
1790233612948,183250944,162140160,248,50
1790233613970,180641792,158720000,249,50
1790233614979,187076608,167063552,248,50
1790233616003,203399168,184500224,249,50
1790233617023,185364480,164286464,250,50
1790233618041,196825088,175427584,233,50
1790233619053,192327680,174133248,233,47
1790233620071,198316032,178466816,233,47
1790233621084,195989504,178335744,249,47
1790233622102,191107072,171827200,233,47
1790233623115,195444736,173178880,233,47
1790233624136,226889728,227889152,249,47
1790233625154,217116672,205893632,248,47
1790233626167,237273088,224948224,248,47
1790233627187,222773248,213155840,249,47
1790233628207,225316864,215109632,249,47
1790233629221,186429440,165859328,249,47
1790233630228,191369216,170627072,249,47
1790233631237,186163200,164319232,249,47
1790233632262,210681856,197435392,249,47
1790233633280,220680192,213659648,249,47
1790233634300,183373824,161873920,244,47
1790233635316,184008704,162357248,233,47
1790233636329,183328768,162148352,233,47
1790233637345,191893504,173187072,233,47
1790233638379,233361408,237645824,249,47
1790233639395,222941184,212025344,247,47
1790233640421,240369664,236949504,249,47
1790233641437,192282624,171798528,249,47
1790233642453,189198336,168742912,248,47
1790233643460,189083648,168378368,249,47
1790233644486,215187456,207912960,248,47
1790233645511,201764864,180060160,245,47
1790233646531,191901696,171315200,233,47
1790233647548,199086080,179593216,233,47
1790233648564,238448640,242028544,249,47
1790233649589,233611264,239136768,249,47
1790233650613,227315712,219750400,248,47
1790233651634,223592448,214679552,248,47
1790233652659,242528256,242851840,248,47
1790233653672,247607296,251998208,249,47
1790233654688,210628608,195080192,235,47
1790233655704,187916288,167804928,248,47
1790233656726,187904000,167522304,249,47
1790233657748,219144192,207802368,249,47
1790233658764,188203008,166916096,250,47
1790233659782,187432960,166699008,233,47
1790233660799,194072576,172847104,233,47
1790233661808,190836736,170409984,233,47
1790233662815,198062080,175734784,233,47
1790233663842,233046016,237494272,248,47
1790233664862,231235584,222941184,249,47
1790233665877,229191680,223571968,249,47
1790233666896,186494976,164265984,249,47
1790233667905,207962112,185774080,249,47
1790233668926,207474688,184881152,248,47
1790233669952,227213312,226672640,249,47
1790233670972,183779328,161067008,246,47
1790233671991,184946688,162717696,233,47
1790233673012,201224192,182841344,233,47
1790233674042,227373056,224030720,249,47
1790233675061,228524032,216522752,249,47
1790233676074,244641792,235425792,249,47
1790233677097,206794752,184569856,233,47
1790233678118,189075456,167481344,248,47
1790233679145,212746240,196251648,248,47
1790233680166,215793664,202985472,247,47
1790233681183,219029504,209043456,248,47
1790233682209,213151744,198107136,236,47
1790233683229,196268032,176459776,233,47
1790233684241,195706880,173731840,233,47
1790233685261,207138816,185290752,234,47
1790233686276,223969280,225243136,249,47
1790233687299,228757504,222679040,249,47
1790233688319,238436352,236576768,249,47
1790233689332,227827712,217538560,249,47
1790233690348,187256832,165384192,233,47
1790233691354,187371520,166293504,233,47
1790233692362,187371520,166293504,233,47
1790233693371,187371520,166293504,233,47
1790233694379,187371520,166293504,233,47
1790233695387,187420672,166244352,233,46
1790233696409,187420672,166244352,233,46
1790233697417,187420672,166244352,233,46
1790233698431,187420672,166273024,233,46
1790233699444,187420672,166273024,233,46
