unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790233378436,10735616,4231168,178,20
1790233379469,62296064,45596672,223,44
1790233380487,152707072,133386240,211,44
1790233381502,159604736,137707520,212,44
1790233382522,175169536,156504064,228,44
1790233383556,181174272,160157696,214,44
1790233384582,189173760,170688512,226,44
1790233385601,196857856,174612480,218,44
1790233386610,165691392,144003072,229,44
1790233387621,173789184,151457792,220,44
1790233388628,166678528,145076224,220,44
1790233389647,185147392,165322752,238,44
1790233390663,168349696,146788352,222,44
1790233391678,186679296,167641088,238,44
1790233392697,184459264,163426304,222,44
1790233393712,189239296,171339776,236,44
1790233394727,183119872,162791424,222,44
1790233395738,192999424,177483776,239,44
1790233396759,198098944,176095232,224,44
1790233397785,197054464,181858304,245,46
1790233398804,179019776,157265920,230,46
1790233399821,188940288,166973440,236,46
1790233400841,190279680,169193472,230,46
1790233401864,192659456,177418240,230,46
1790233402877,194207744,173359104,230,46
1790233403889,198406144,184934400,246,46
1790233404905,189104128,167079936,230,46
1790233405928,186187776,164347904,234,46
1790233406949,169943040,148496384,230,46
1790233407955,190320640,171577344,230,46
1790233408969,193671168,176541696,245,43
1790233409983,168329216,146874368,230,43
1790233410992,200040448,190636032,246,43
1790233412018,189079552,167735296,230,43
1790233413027,201658368,180416512,230,43
1790233414041,188243968,166895616,246,43
1790233415057,172744704,150495232,230,43
1790233416081,194838528,177983488,246,43
1790233417097,169955328,149254144,230,43
1790233418106,190042112,168521728,230,43
1790233419114,191823872,171057152,230,43
1790233420137,186675200,175251456,246,43
1790233421145,188575744,166645760,230,43
1790233422164,188555264,166166528,230,43
1790233423172,188555264,166166528,230,43
1790233424192,188571648,166260736,230,43
1790233425206,188571648,166260736,230,43
1790233426225,188571648,166318080,230,43
1790233427244,188620800,166268928,230,42
1790233428253,187445248,165126144,230,42
1790233429261,187445248,165126144,230,42
1790233430281,161222656,142319616,229,41
1790233431288,161222656,142319616,229,41
