unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790233709160,10719232,4227072,178,20
1790233710195,63188992,46129152,217,38
1790233711206,164847616,153235456,202,38
1790233712220,227692544,217886720,226,43
1790233713236,191307776,160878592,226,43
1790233714259,195354624,163893248,216,43
1790233715270,189878272,159289344,231,43
1790233716298,216272896,194269184,234,43
1790233717319,235208704,222240768,236,44
1790233718345,226357248,211988480,236,44
1790233719354,202960896,172199936,224,45
1790233720364,196632576,165871616,239,45
1790233721385,204333056,174403584,225,45
1790233722395,197369856,167542784,241,45
1790233723419,220958720,197840896,238,45
1790233724441,218447872,195325952,245,45
1790233725465,191115264,159416320,231,45
1790233726487,199606272,170024960,230,45
1790233727515,220782592,200032256,245,45
1790233728537,230260736,208883712,245,45
1790233729551,216006656,198156288,246,45
1790233730576,225103872,204824576,246,45
1790233731594,198086656,167759872,244,45
1790233732621,233705472,213856256,245,45
1790233733636,199069696,168669184,244,45
1790233734643,195952640,165343232,230,45
1790233735663,198389760,168390656,245,45
1790233736673,197210112,168140800,229,45
1790233737693,243023872,229203968,245,45
1790233738715,219205632,196083712,243,45
1790233739725,206790656,175546368,230,42
1790233740743,202305536,172273664,245,42
1790233741762,194691072,162934784,229,42
1790233742780,195940352,164622336,244,42
1790233743791,216027136,188432384,244,42
1790233744814,232419328,220524544,246,42
1790233745835,209448960,181571584,245,42
1790233746855,201650176,172150784,229,42
1790233747877,195407872,166416384,244,42
1790233748896,206798848,174813184,229,42
1790233749923,220987392,197169152,230,42
1790233750939,198103040,167931904,244,42
1790233751967,239575040,220434432,245,42
1790233752980,195846144,165687296,230,42
1790233753986,206233600,176357376,229,42
1790233754994,202076160,170598400,246,42
1790233756014,195035136,163631104,230,42
1790233757026,229687296,212115456,243,42
1790233758042,201035776,169861120,244,42
1790233759057,209104896,178368512,229,42
1790233760077,201699328,171753472,244,42
1790233761084,207945728,178376704,230,42
1790233762095,241418240,231030784,245,42
1790233763106,202227712,172277760,243,42
1790233764118,197619712,167030784,241,42
1790233765131,193564672,161374208,230,42
1790233766147,232153088,215547904,245,42
1790233767157,197890048,166932480,240,42
1790233768166,210964480,179752960,229,42
1790233769187,200634368,170098688,244,42
1790233770205,215048192,185241600,230,42
1790233771226,201613312,172179456,246,42
1790233772243,199421952,169730048,246,42
1790233773264,207663104,184463360,232,42
1790233774284,222265344,204259328,244,42
1790233775313,245248000,235991040,246,42
1790233776331,201670656,172564480,244,42
1790233777352,199340032,167489536,229,42
1790233778372,201113600,170754048,245,42
1790233779386,236236800,221278208,230,42
1790233780408,230686720,214298624,246,42
1790233781424,217116672,194236416,245,42
1790233782449,243126272,227561472,245,42
1790233783471,202133504,171708416,229,42
1790233784495,238452736,218177536,247,43
1790233785514,202850304,172257280,247,43
1790233786532,205475840,178282496,230,43
1790233787542,233664512,211738624,245,43
1790233788563,225116160,208109568,243,43
1790233789590,248225792,245170176,246,43
1790233790602,201199616,172224512,246,43
1790233791613,235384832,215056384,246,43
1790233792631,202567680,171896832,243,43
1790233793652,211955712,182947840,230,43
1790233794671,202539008,171757568,244,43
1790233795698,228540416,203689984,247,43
1790233796724,260476928,249851904,246,43
1790233797741,202678272,172453888,231,43
1790233798758,231071744,211025920,246,43
1790233799781,242929664,237772800,247,43
1790233800800,204873728,174186496,231,43
1790233801824,231211008,210190336,245,43
1790233802844,203669504,176021504,246,43
1790233803857,204800000,174157824,230,43
1790233804873,196259840,165322752,247,43
1790233805899,227061760,208449536,247,43
1790233806922,243949568,223735808,245,43
1790233807944,199127040,168345600,245,43
1790233808970,242937856,229326848,245,43
1790233809983,201482240,170737664,246,43
1790233810996,238432256,219299840,246,43
1790233812016,202784768,171388928,245,43
1790233813026,208310272,177819648,230,43
1790233814034,202502144,171524096,230,43
1790233815049,203177984,172388352,231,43
1790233816075,243093504,231403520,246,43
1790233817092,202059776,171794432,246,43
1790233818114,238706688,230031360,246,43
1790233819132,202711040,174141440,246,43
1790233820150,217198592,186982400,231,43
1790233821156,203223040,172171264,247,43
1790233822176,197799936,166526976,230,43
1790233823189,256925696,245936128,246,43
1790233824207,205017088,174817280,245,43
1790233825223,206123008,175722496,231,43
1790233826234,235896832,217341952,247,43
1790233827253,203169792,173162496,243,43
1790233828268,204255232,174383104,245,43
1790233829289,222941184,209055744,230,43
1790233830309,235155456,212971520,246,43
1790233831331,246222848,232660992,247,43
1790233832348,203620352,172699648,244,43
1790233833365,202768384,172269568,237,43
1790233834378,238813184,214507520,246,43
1790233835396,202391552,171982848,247,43
1790233836419,238751744,222281728,245,43
1790233837442,241504256,219754496,244,43
1790233838452,204095488,173608960,230,43
1790233839466,204185600,173621248,231,43
1790233840474,204185600,173621248,231,43
1790233841486,204185600,173629440,230,43
1790233842495,204185600,173629440,230,43
1790233843515,204189696,173645824,231,43
1790233844524,204189696,173645824,231,43
1790233845542,204230656,173596672,230,42
1790233846561,204230656,173596672,230,42
1790233847582,193593344,162865152,229,41
1790233848602,193060864,161583104,204,15
1790233849610,193060864,161673216,204,15
