unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790264746737,132771840,88940544,203,41
1790264747990,150405120,105201664,206,41
1790264749003,163885056,117690368,206,41
1790264750020,179666944,132399104,206,41
1790264751037,189472768,138805248,206,41
1790264752053,214781952,170545152,221,41
1790264753062,186462208,135950336,211,44
1790264754072,222347264,178962432,233,44
1790264755084,186327040,136282112,217,44
1790264756103,187310080,137195520,219,44
1790264757128,187240448,137043968,219,44
1790264758137,221069312,181092352,236,44
1790264759159,186552320,135901184,221,44
1790264760168,190914560,141971456,230,51
1790264761184,220659712,179548160,246,51
1790264762210,215695360,174030848,247,51
1790264763224,193208320,144584704,232,51
1790264764237,187596800,137469952,232,51
1790264765259,222674944,181702656,248,51
1790264766285,226406400,188448768,247,51
1790264767301,192647168,143904768,232,51
1790264768315,187584512,137359360,232,51
1790264769326,190799872,141111296,232,51
1790264770335,215756800,167522304,247,51
1790264771342,191926272,141524992,232,51
1790264772352,191164416,141393920,232,51
1790264773370,211554304,161820672,232,51
1790264774387,220659712,178921472,247,51
1790264775401,223932416,184864768,246,48
1790264776418,214228992,165195776,232,48
1790264777430,192053248,141754368,232,48
1790264778438,194961408,145936384,232,48
1790264779459,222384128,180674560,248,48
1790264780471,225771520,185782272,248,48
1790264781487,213909504,165560320,232,48
1790264782511,194224128,148885504,232,48
1790264783527,193003520,142974976,232,48
1790264784548,222380032,179990528,250,48
1790264785559,193921024,144932864,234,48
1790264786591,232706048,197779456,249,48
1790264787611,214642688,172077056,250,48
1790264788627,194179072,144359424,234,48
1790264789648,213508096,164302848,234,48
1790264790672,223719424,181690368,249,48
1790264791685,216313856,173850624,248,48
1790264792693,215760896,166203392,234,48
1790264793706,212377600,163213312,234,48
1790264794726,195346432,145883136,234,48
1790264795748,212262912,162680832,234,48
1790264796771,230846464,194285568,249,48
1790264797789,212074496,161964032,234,48
1790264798809,213106688,163012608,234,48
1790264799832,230395904,190324736,249,48
1790264800863,225628160,184446976,248,48
1790264801889,191905792,141631488,235,48
1790264802907,233373696,192090112,249,48
1790264803941,225411072,194310144,249,48
1790264804950,213901312,164098048,234,48
1790264805957,214953984,164720640,234,48
1790264806971,223211520,178122752,249,48
1790264807989,191959040,141815808,234,48
1790264809013,214683648,165433344,234,48
1790264810043,223178752,181354496,250,48
1790264811062,227516416,185765888,250,48
1790264812073,213164032,163934208,234,48
1790264813086,193552384,143568896,234,48
1790264814096,213721088,163729408,234,48
1790264815113,223129600,182001664,236,48
1790264816133,194093056,144297984,234,48
1790264817144,229883904,194088960,249,48
1790264818153,217133056,166821888,234,48
1790264819166,220450816,175403008,244,48
1790264820185,221712384,175316992,250,48
1790264821203,224149504,182579200,250,48
1790264822218,227639296,192356352,250,48
1790264823237,215138304,165425152,234,48
1790264824257,213872640,163573760,234,48
1790264825279,231288832,191299584,250,48
1790264826298,213069824,163250176,234,48
1790264827308,191594496,141283328,234,48
1790264828316,215240704,165588992,245,48
1790264829326,220557312,180154368,249,48
1790264830345,231858176,191107072,249,48
1790264831356,215298048,166547456,234,48
1790264832386,223956992,182853632,250,48
1790264833410,231591936,196259840,248,48
1790264834427,229863424,193400832,250,48
1790264835445,214552576,165019648,234,48
1790264836454,189620224,139022336,234,48
1790264837473,223031296,181190656,250,48
1790264838488,190648320,140156928,234,48
1790264839506,214937600,164753408,234,48
1790264840524,214118400,168898560,249,48
1790264841535,213327872,163368960,234,48
1790264842548,214478848,165740544,234,48
1790264843581,231550976,193343488,250,48
1790264844596,214511616,165449728,234,48
1790264845619,216403968,166801408,234,48
1790264846631,216469504,166891520,234,48
1790264847654,221667328,176234496,234,48
1790264848668,192946176,142888960,234,48
1790264849678,215822336,165543936,234,48
1790264850695,226406400,185110528,249,48
1790264851719,230432768,190369792,249,48
1790264852741,224313344,177541120,250,48
1790264853761,194686976,146788352,234,48
1790264854768,215842816,165810176,234,48
1790264855786,229752832,191102976,250,48
1790264856800,231378944,191721472,250,48
1790264857813,225902592,184811520,250,48
1790264858833,217329664,167378944,234,48
1790264859844,216719360,166486016,234,48
1790264860871,227188736,185802752,249,48
1790264861894,229048320,193286144,250,48
1790264862912,190599168,140443648,234,48
1790264863935,214487040,164270080,234,48
1790264864951,231677952,197005312,250,48
1790264865965,215277568,166420480,234,48
1790264866985,214945792,166551552,234,48
1790264867997,191934464,141598720,234,48
1790264869019,225832960,185311232,249,48
1790264870039,216129536,166678528,234,48
1790264871064,226856960,189804544,249,48
1790264872078,193544192,143118336,237,48
1790264873095,217300992,167337984,234,48
1790264874103,214994944,166699008,234,48
1790264875111,192208896,142024704,234,48
1790264876132,220729344,173707264,249,48
1790264877141,217153536,167731200,234,48
1790264878160,215633920,166793216,234,48
1790264879174,220692480,170373120,249,48
1790264880197,230551552,188395520,250,48
1790264881207,230637568,187678720,249,48
1790264882225,196083712,146804736,234,48
1790264883245,215830528,165912576,234,48
1790264884262,215003136,165761024,234,48
1790264885278,195878912,146796544,234,48
1790264886285,230641664,192507904,250,48
1790264887306,217387008,167378944,234,48
1790264888320,215408640,166166528,234,48
1790264889326,216145920,166461440,234,48
1790264890335,215494656,165801984,234,48
1790264891343,228331520,189116416,249,48
1790264892361,221433856,175951872,234,48
1790264893377,216993792,167428096,234,48
1790264894384,215015424,164982784,234,48
1790264895393,223600640,180297728,250,48
1790264896399,188645376,138121216,234,48
1790264897418,216485888,166146048,234,48
1790264898438,228483072,190455808,250,48
1790264899462,230715392,193302528,249,48
1790264900479,216727552,166539264,234,48
1790264901499,226226176,177557504,250,48
1790264902515,226758656,192323584,249,48
1790264903536,230027264,191078400,249,48
1790264904550,232296448,196046848,249,48
1790264905561,216461312,166432768,234,48
1790264906583,194117632,144293888,234,48
1790264907605,217247744,167170048,234,48
1790264908622,216576000,166719488,234,48
1790264909629,195837952,146325504,234,48
1790264910652,227115008,189538304,248,48
1790264911671,221548544,177532928,234,48
1790264912682,216666112,166535168,234,48
1790264913699,226574336,185847808,249,48
1790264914716,218292224,168243200,234,48
1790264915724,218296320,168251392,234,48
1790264916741,218296320,168251392,234,48
1790264917751,218316800,168275968,234,48
1790264918763,218316800,168275968,234,48
1790264919782,218357760,168226816,234,47
1790264920801,218357760,168226816,234,47
1790264921818,187211776,137207808,234,47
1790264922829,187211776,137207808,234,47
1790264923851,187146240,140115968,233,46
