unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790265181896,122175488,89628672,200,38
1790265183039,143392768,109207552,205,38
1790265184046,162336768,126824448,205,38
1790265185065,180248576,143564800,205,38
1790265186076,212111360,172523520,367,41
1790265187082,200630272,146333696,214,41
1790265188100,278650880,230432768,229,41
1790265189117,231796736,157216768,216,41
1790265190138,237068288,164577280,231,41
1790265191161,275431424,223428608,232,41
1790265192185,282542080,221937664,234,41
1790265193194,268935168,209207296,218,41
1790265194213,237989888,164724736,233,41
1790265195236,234934272,159891456,235,41
1790265196253,283766784,223576064,236,41
1790265197274,250986496,177065984,222,41
1790265198284,231690240,156127232,225,44
1790265199308,266252288,207360000,243,44
1790265200322,237072384,162742272,240,44
1790265201347,278306816,212029440,242,44
1790265202363,294096896,243023872,242,44
1790265203370,240074752,164794368,239,44
1790265204379,255029248,180158464,227,44
1790265205387,257818624,182403072,242,44
1790265206409,291074048,240623616,243,44
1790265207423,280653824,225767424,243,44
1790265208446,258498560,183255040,242,44
1790265209455,302743552,247152640,243,44
1790265210482,291225600,246222848,243,41
1790265211495,241913856,167526400,227,41
1790265212514,257540096,182792192,242,41
1790265213531,241729536,167202816,242,41
1790265214554,283029504,216350720,243,41
1790265215575,259764224,185696256,226,41
1790265216592,245714944,173408256,227,41
1790265217598,245284864,172720128,242,41
1790265218610,241786880,167657472,243,41
1790265219637,286072832,225349632,243,41
1790265220647,251121664,177246208,227,41
1790265221655,277970944,217030656,242,41
1790265222671,242405376,168185856,242,41
1790265223688,281604096,225435648,242,41
1790265224705,290594816,242704384,243,41
1790265225726,246022144,171978752,227,41
1790265226754,284045312,229470208,243,41
1790265227775,243728384,170622976,242,41
1790265228791,275636224,209879040,242,41
1790265229807,293617664,247361536,242,41
1790265230824,248885248,175939584,227,41
1790265231853,270172160,204615680,242,41
1790265232874,244101120,169656320,242,41
1790265233896,284102656,225939456,243,41
1790265234918,291409920,233398272,243,41
1790265235935,245080064,171302912,227,41
1790265236953,246308864,173199360,227,41
1790265237971,247300096,173674496,242,41
1790265238987,282693632,224002048,243,41
1790265240010,241946624,167518208,227,41
1790265241016,244916224,171290624,227,41
1790265242028,263409664,192921600,243,41
1790265243036,240775168,165699584,243,41
1790265244059,295047168,234110976,243,41
1790265245074,254234624,179875840,227,41
1790265246094,273698816,203980800,242,41
1790265247116,247599104,176205824,243,41
1790265248140,262692864,187703296,242,41
1790265249151,293974016,232697856,243,41
1790265250171,260988928,186814464,227,41
1790265251189,244363264,171769856,227,41
1790265252196,248209408,173846528,227,41
1790265253218,243806208,169000960,242,41
1790265254230,288653312,230285312,242,41
1790265255241,244772864,170901504,227,41
1790265256258,242921472,169275392,242,41
1790265257272,266776576,191455232,243,41
1790265258287,286920704,222998528,243,41
1790265259305,255520768,180240384,227,41
1790265260313,248229888,175570944,227,41
1790265261332,243175424,171077632,227,41
1790265262344,243929088,170299392,242,41
1790265263364,287592448,216862720,243,41
1790265264371,256368640,181772288,227,41
1790265265381,277000192,208556032,242,41
1790265266397,249159680,175390720,243,41
1790265267419,292601856,239017984,243,41
1790265268426,247332864,174780416,227,41
1790265269450,283127808,229863424,243,41
1790265270466,242257920,167292928,240,41
1790265271491,295731200,237580288,242,41
1790265272513,261271552,187203584,227,41
1790265273522,286425088,231116800,243,41
1790265274541,247148544,173481984,242,41
1790265275564,263839744,188833792,243,41
1790265276581,285757440,228859904,243,41
