unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790264933602,120737792,88502272,205,43
1790264934763,141623296,107712512,208,43
1790264935773,161284096,125988864,208,43
1790264936787,180105216,143630336,208,43
1790264937795,206147584,164335616,367,43
1790264938814,198701056,146173952,226,43
1790264939824,219672576,168910848,210,43
1790264940844,203558912,150171648,214,43
1790264941853,202334208,149962752,214,43
1790264942873,253603840,226787328,231,43
1790264943891,231583744,186683392,231,43
1790264944902,205524992,156758016,220,43
1790264945922,262295552,238723072,236,43
1790264946940,237400064,197619712,236,43
1790264947949,207237120,155168768,220,43
1790264948956,254369792,224370688,240,43
1790264949974,246947840,212881408,239,43
1790264950985,206839808,154607616,226,43
1790264952008,250847232,211484672,242,43
1790264953029,243802112,206729216,241,43
1790264954038,239226880,186699776,226,43
1790264955050,234901504,190693376,242,43
1790264956071,214822912,163487744,226,43
1790264957096,255434752,222986240,242,43
1790264958113,239919104,197009408,241,43
1790264959134,213032960,160776192,226,43
1790264960155,256217088,222679040,241,43
1790264961174,251097088,214249472,241,43
1790264962185,220733440,170151936,226,40
1790264963206,246435840,203505664,241,40
1790264964242,238465024,195751936,242,40
1790264965261,238354432,185630720,226,40
1790264966279,256606208,219242496,241,40
1790264967291,242581504,200642560,241,40
1790264968299,232882176,181026816,226,40
1790264969313,249053184,211013632,241,40
1790264970334,238608384,192684032,241,40
1790264971341,243781632,190947328,226,40
1790264972368,254894080,211427328,241,40
1790264973387,213237760,161886208,226,40
1790264974407,257949696,223653888,241,40
1790264975421,241754112,197795840,226,40
1790264976440,221474816,168816640,226,40
1790264977450,251043840,208580608,242,40
1790264978470,214036480,163508224,226,40
1790264979483,260460544,236060672,242,40
1790264980502,239923200,197337088,241,40
1790264981516,220790784,168259584,226,40
1790264982532,251518976,213274624,242,40
1790264983553,242671616,196460544,242,40
1790264984572,246222848,193433600,226,40
1790264985581,259026944,221876224,241,40
1790264986600,238120960,190259200,226,40
1790264987608,244207616,191803392,226,40
1790264988619,211644416,158785536,228,42
1790264989627,233308160,181514240,228,42
1790264990654,275021824,249929728,244,42
1790264991664,251113472,211591168,243,42
1790264992682,238759936,186540032,228,42
1790264993702,264765440,227999744,244,42
1790264994717,250966016,213032960,244,42
1790264995730,239038464,186937344,228,42
1790264996741,269627392,235827200,243,42
1790264997758,261505024,228179968,244,42
1790264998765,239378432,186949632,228,42
1790264999773,258293760,219332608,244,42
1790265000787,247930880,207605760,243,42
1790265001800,240398336,187801600,228,42
1790265002817,242806784,198893568,244,42
1790265003831,236507136,184008704,228,42
1790265004851,247992320,195145728,228,42
1790265005863,241348608,198676480,244,42
1790265006884,209780736,158298112,228,42
1790265007911,254296064,223805440,244,42
1790265008935,245698560,204296192,244,42
1790265009953,216256512,162967552,228,42
1790265010974,247382016,201838592,243,42
1790265011987,233611264,180789248,228,42
1790265012997,246534144,194654208,244,42
1790265014012,236818432,186748928,243,42
1790265015027,242806784,190070784,228,42
1790265016043,254554112,213614592,243,42
1790265017065,231211008,178536448,228,42
1790265018074,259284992,234799104,244,42
1790265019097,250093568,216219648,244,42
1790265020115,213843968,162172928,228,42
1790265021138,256610304,219471872,244,42
1790265022160,249282560,211099648,243,42
1790265023175,223469568,170549248,228,42
1790265024184,248885248,209428480,243,42
1790265025205,209584128,157028352,228,42
1790265026213,226738176,176435200,228,42
1790265027240,245993472,208994304,244,42
1790265028249,216731648,167161856,228,42
