unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790265594818,122048512,89595904,201,39
1790265595962,142778368,108679168,206,39
1790265596979,161730560,126275584,206,39
1790265597999,177192960,137756672,206,39
1790265599007,196669440,150110208,206,39
1790265600019,224124928,151568384,210,39
1790265601037,238034944,164552704,226,40
1790265602057,235868160,161050624,232,40
1790265603067,284332032,218914816,235,42
1790265604086,246116352,171536384,222,42
1790265605112,259850240,196730880,238,42
1790265606133,241438720,167407616,221,42
1790265607157,276688896,211980288,237,42
1790265608179,249991168,174751744,223,42
1790265609185,242114560,167088128,224,42
1790265610207,243322880,169508864,241,42
1790265611228,244252672,169418752,240,42
1790265612239,286789632,229543936,243,44
1790265613254,252768256,177283072,228,44
1790265614266,270295040,205557760,230,44
1790265615285,244174848,170070016,243,44
1790265616304,243183616,169746432,243,44
1790265617325,277757952,214761472,242,44
1790265618341,244760576,170139648,228,44
1790265619361,274169856,211177472,243,44
1790265620381,246083584,172335104,243,44
1790265621402,244944896,170770432,242,44
1790265622424,286769152,224673792,243,44
1790265623432,254586880,182153216,228,41
1790265624440,275324928,211656704,235,41
1790265625451,244117504,170786816,243,41
1790265626479,291270656,238727168,242,41
1790265627494,282628096,220942336,243,41
1790265628511,243572736,168263680,228,41
1790265629534,269934592,204738560,243,41
1790265630556,246116352,171479040,241,41
1790265631582,281178112,222150656,243,41
1790265632595,258695168,185577472,227,41
1790265633610,247857152,173776896,228,41
1790265634627,254664704,180875264,243,41
1790265635646,248459264,173428736,243,41
1790265636666,283111424,226279424,243,41
1790265637676,240713728,165146624,228,41
1790265638698,285683712,228904960,243,41
1790265639707,246456320,173355008,243,41
1790265640726,252624896,182304768,227,41
1790265641735,281600000,216154112,242,41
1790265642754,251502592,177205248,227,41
1790265643773,280203264,219549696,244,41
1790265644792,244207616,168468480,228,41
1790265645825,281133056,213811200,242,41
1790265646850,247992320,174759936,227,41
1790265647868,281239552,218435584,243,41
1790265648889,244862976,170242048,243,41
1790265649903,276180992,214659072,231,41
1790265650921,287105024,229580800,242,41
1790265651943,244989952,172421120,227,41
1790265652962,280543232,212881408,243,41
1790265653980,247377920,173232128,242,41
1790265654996,288763904,233803776,243,41
1790265656019,293998592,242106368,243,41
1790265657034,245678080,172568576,227,41
1790265658053,275632128,211550208,242,41
1790265659072,247009280,173531136,243,41
1790265660093,297242624,231141376,244,41
1790265661105,262438912,190111744,227,41
1790265662116,278102016,214724608,242,41
1790265663127,248782848,174129152,243,41
1790265664135,246218752,170835968,242,41
1790265665156,285614080,221007872,244,41
1790265666177,248258560,172789760,227,41
1790265667188,276434944,214700032,242,41
1790265668206,248451072,174673920,243,41
1790265669217,288632832,228691968,244,41
1790265670236,257847296,184090624,228,41
1790265671244,274694144,210227200,242,41
1790265672264,247750656,173944832,242,41
1790265673277,248360960,175239168,227,41
1790265674301,287592448,221782016,244,41
1790265675323,256724992,184119296,228,41
1790265676344,288219136,231436288,243,41
1790265677363,249634816,176967680,242,41
1790265678373,280129536,216625152,235,41
1790265679394,293285888,234426368,244,41
1790265680408,253497344,178819072,227,41
1790265681425,281751552,222593024,243,41
1790265682431,250097664,174735360,239,41
1790265683448,294797312,238481408,244,41
1790265684468,297009152,250138624,244,41
1790265685484,241987584,165888000,227,41
1790265686496,249692160,175255552,243,41
1790265687515,248365056,174841856,242,41
1790265688529,284540928,222248960,243,41
1790265689548,256753664,181063680,228,41
1790265690559,246288384,170938368,236,41
1790265691580,250142720,176799744,242,41
1790265692587,249778176,174616576,227,41
1790265693594,288305152,225370112,244,41
1790265694616,254349312,184754176,228,41
1790265695635,286253056,226299904,243,41
1790265696643,251977728,178589696,242,41
1790265697653,251195392,177164288,227,41
1790265698668,283672576,221626368,243,41
1790265699679,260784128,186974208,228,41
1790265700687,282460160,220565504,243,41
1790265701708,249503744,175861760,243,41
1790265702717,282341376,221954048,243,41
1790265703740,289767424,230760448,244,41
1790265704763,258355200,183803904,228,41
1790265705773,276176896,210796544,243,41
1790265706794,249270272,174862336,227,41
1790265707815,279543808,215486464,242,41
1790265708834,294301696,250093568,244,41
1790265709858,280920064,219312128,243,41
1790265710872,251387904,176975872,242,41
1790265711894,288452608,234668032,242,41
1790265712902,262365184,188084224,227,41
1790265713909,252076032,179609600,228,41
1790265714918,251711488,178216960,243,41
1790265715929,287846400,228536320,243,41
1790265716949,284602368,222330880,241,41
1790265717959,255090688,181972992,227,41
1790265718979,281333760,219291648,243,41
1790265719994,252112896,179007488,243,41
1790265721012,295694336,243822592,243,41
1790265722024,290934784,238841856,242,41
1790265723041,248897536,173940736,227,41
1790265724055,276488192,212340736,244,41
1790265725066,251453440,177586176,244,41
1790265726083,310534144,253759488,242,41
1790265727097,244678656,168742912,228,41
1790265728109,251215872,177381376,227,41
1790265729128,252379136,177090560,228,41
1790265730151,250785792,175964160,244,41
1790265731170,299454464,249819136,242,41
1790265732184,251146240,175759360,227,41
1790265733191,280846336,214736896,227,41
1790265734202,252354560,178003968,228,41
1790265735215,251502592,177692672,243,41
1790265736237,289812480,232431616,243,41
1790265737259,258306048,184094720,227,41
1790265738267,245006336,169938944,227,41
1790265739290,271249408,207540224,243,41
1790265740312,252231680,179085312,244,41
1790265741331,289112064,231342080,242,41
1790265742343,262828032,190935040,227,41
1790265743353,292683776,236679168,242,41
1790265744375,253227008,179302400,228,41
1790265745383,250580992,176803840,244,41
1790265746403,259964928,185667584,227,41
1790265747423,286375936,226131968,242,41
1790265748431,252669952,178536448,242,41
1790265749454,293629952,243376128,244,41
1790265750461,263671808,189808640,228,41
1790265751481,281485312,216104960,242,41
1790265752491,253456384,178274304,242,41
1790265753501,295415808,242647040,243,41
1790265754525,291741696,235651072,244,41
1790265755539,264818688,193519616,227,41
1790265756563,294940672,242905088,242,41
1790265757583,253079552,178495488,242,41
1790265758604,280342528,217640960,244,41
1790265759623,299372544,238342144,243,41
1790265760641,255664128,181239808,227,41
1790265761665,281587712,218771456,242,41
1790265762682,253022208,179920896,227,41
1790265763697,290054144,220897280,244,41
1790265764706,299343872,247242752,244,41
1790265765725,254316544,182493184,227,41
1790265766747,274661376,212496384,243,41
1790265767769,252678144,178479104,242,41
1790265768780,285044736,223768576,244,41
1790265769802,294293504,231804928,244,41
1790265770820,256167936,186761216,227,41
1790265771843,269623296,204734464,242,41
1790265772852,251510784,178462720,243,41
1790265773872,303255552,239005696,244,41
1790265774896,256049152,182607872,228,41
1790265775910,253345792,177848320,227,41
1790265776926,252137472,176709632,227,41
1790265777945,287821824,223707136,240,41
1790265778963,252395520,178843648,228,41
1790265779987,280809472,216330240,244,41
1790265781006,251736064,177278976,228,41
1790265782016,304750592,241500160,243,41
1790265783026,301101056,249655296,242,41
1790265784044,255168512,181624832,228,41
1790265785063,253902848,179343360,228,41
1790265786071,249847808,174530560,239,41
1790265787081,294785024,232390656,243,41
1790265788100,265420800,192491520,227,41
1790265789112,246190080,171003904,228,41
1790265790131,275816448,212631552,243,41
1790265791153,252223488,177074176,242,41
1790265792178,315514880,257282048,243,41
1790265793200,266035200,193634304,227,41
1790265794217,282931200,218886144,244,41
1790265795238,285773824,224382976,244,41
1790265796258,251359232,176254976,240,41
1790265797282,299384832,245542912,243,41
1790265798295,268722176,196530176,227,41
1790265799314,285057024,224473088,228,41
1790265800334,252567552,179478528,244,41
1790265801356,252612608,178888704,242,41
1790265802366,292831232,230318080,242,41
1790265803372,259022848,185569280,227,41
1790265804382,290897920,228438016,243,41
1790265805405,250560512,175640576,243,41
1790265806416,290287616,227692544,243,41
1790265807434,252387328,179113984,227,41
1790265808445,253931520,179765248,243,41
1790265809467,291364864,235753472,243,41
1790265810480,304951296,259784704,242,41
1790265811494,251609088,176939008,227,41
1790265812502,282689536,221364224,242,41
1790265813510,252145664,177561600,240,41
1790265814537,298913792,242049024,244,41
1790265815557,259600384,185090048,228,41
1790265816576,253435904,179388416,227,41
1790265817595,270184448,206962688,243,41
1790265818617,251547648,176545792,243,41
1790265819637,292265984,222851072,244,41
1790265820653,248184832,174268416,227,41
1790265821673,253079552,179396608,227,41
1790265822682,253808640,179204096,227,41
1790265823693,253259776,180338688,244,41
1790265824702,289263616,227684352,241,41
1790265825725,267976704,195928064,227,41
1790265826745,284659712,221016064,242,41
1790265827752,252833792,179294208,243,41
1790265828764,251555840,177704960,229,41
1790265829787,290279424,230825984,244,41
1790265830807,248770560,175525888,227,41
1790265831831,279658496,218886144,243,41
1790265832848,256745472,182640640,232,41
1790265833862,284590080,221437952,243,41
1790265834881,254783488,181501952,228,41
1790265835898,247320576,171614208,242,41
1790265836918,252465152,178364416,238,41
1790265837938,253874176,179490816,242,41
1790265838955,296919040,241307648,243,41
1790265839969,245497856,169390080,228,41
1790265840984,252755968,178524160,227,41
1790265841995,287195136,228204544,243,41
1790265843008,253886464,180183040,227,41
1790265844020,256217088,183771136,228,41
1790265845030,254033920,178962432,243,41
1790265846039,253165568,178507776,242,41
1790265847057,290004992,234319872,242,41
1790265848074,248037376,172883968,227,41
1790265849094,285609984,230354944,243,41
1790265850115,253988864,180891648,243,41
1790265851125,287174656,231817216,242,41
1790265852145,306085888,256765952,243,41
1790265853162,253108224,178319360,227,41
1790265854175,278704128,215486464,243,41
1790265855185,253759488,180576256,243,41
1790265856195,307314688,249028608,242,41
1790265857205,254021632,180350976,227,41
1790265858211,255082496,182255616,227,41
1790265859233,267145216,193183744,244,41
1790265860245,254967808,180686848,242,41
1790265861274,296484864,242458624,242,41
1790265862285,253591552,179339264,227,41
1790265863296,255762432,182865920,227,41
1790265864306,253718528,179515392,228,41
1790265865316,253149184,178429952,243,41
1790265866335,300548096,251547648,243,41
1790265867357,290267136,231964672,243,41
1790265868370,250335232,175206400,228,41
1790265869384,288694272,235229184,244,41
1790265870418,300064768,252993536,244,41
1790265871433,255541248,183607296,227,41
1790265872454,281808896,223039488,241,41
1790265873475,251252736,176066560,243,41
1790265874487,304226304,242360320,243,41
1790265875496,254504960,181407744,228,41
1790265876507,291627008,228847616,243,41
1790265877525,252792832,179523584,243,41
1790265878532,254595072,182546432,229,43
1790265879556,300134400,249221120,246,43
1790265880572,262242304,188518400,230,43
1790265881589,288083968,231161856,243,43
1790265882596,254205952,180883456,244,43
1790265883610,265334784,202416128,229,43
1790265884623,295399424,236150784,246,43
1790265885630,246898688,171413504,230,43
1790265886644,276938752,212979712,244,43
1790265887660,254840832,180535296,241,43
1790265888684,285405184,218824704,246,43
1790265889695,299163648,258985984,245,43
1790265890711,255139840,182214656,229,43
1790265891726,288616448,236531712,244,43
1790265892746,254017536,181010432,244,43
1790265893781,289284096,232128512,246,44
1790265894805,253353984,178442240,230,44
1790265895828,282349568,222814208,243,44
1790265896847,251523072,177934336,245,44
1790265897868,251035648,175824896,244,44
1790265898889,300740608,246550528,246,44
1790265899897,262787072,188538880,230,44
1790265900917,253030400,178249728,229,44
1790265901938,255131648,181067776,229,44
1790265902948,255295488,180621312,244,44
1790265903963,291934208,228540416,245,44
1790265904978,252043264,176775168,230,44
1790265905992,254160896,179736576,245,44
1790265907014,301121536,240754688,244,44
1790265908037,262787072,189390848,229,44
1790265909054,296603648,239022080,246,44
1790265910074,255508480,181673984,245,44
1790265911092,260734976,190849024,229,44
