unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790273131637,82075648,41906176,185,38
1790273136691,263995392,229507072,191,39
1790273141696,240066560,167538688,182,39
1790273146708,229535744,154648576,182,39
1790273151721,228569088,153878528,162,20
1790273156735,239435776,166666240,198,36
1790273161740,237637632,163299328,184,33
1790273166753,228560896,156135424,183,33
1790273171770,227708928,154828800,166,17
1790273176786,239104000,166584320,185,34
1790273181790,239124480,167718912,187,34
1790273186806,238219264,166653952,170,17
1790273191825,227528704,151658496,169,17
1790273196838,244334592,171257856,191,36
1790273201855,244334592,173117440,191,36
1790273206867,229986304,158380032,170,17
1790273211883,229986304,158400512,171,17
1790273216891,243417088,170721280,189,34
1790273221910,243453952,173363200,189,34
1790273226919,229269504,153620480,171,17
1790273231930,229269504,153620480,171,17
1790273236937,239362048,166690816,191,34
1790273241947,239370240,168112128,191,34
1790273246963,238469120,170233856,173,17
1790273251978,242802688,171708416,208,36
1790273256998,248500224,178585600,193,36
1790273262013,234168320,160874496,192,36
1790273267018,233156608,159416320,173,17
1790273272028,242487296,168734720,192,35
1790273277032,242753536,170467328,192,35
1790273282051,241799168,171986944,174,17
1790273287070,241803264,172990464,173,17
1790273292090,244002816,170483712,191,34
1790273297108,244047872,171393024,191,34
1790273302116,243142656,172814336,172,17
1790273307121,243142656,172814336,173,17
1790273312130,246865920,174452736,193,37
1790273317140,247037952,177770496,193,37
1790273322149,235892736,162824192,173,18
1790273327164,235892736,162824192,172,18
1790273332177,245288960,172687360,196,40
1790273337182,245309440,173043712,196,40
1790273342191,244137984,171294720,173,18
1790273347210,245067776,170704896,189,33
1790273352218,246263808,173174784,189,33
1790273357223,246329344,175124480,189,33
1790273362229,235782144,160522240,172,18
1790273367246,268718080,194945024,196,40
1790273372253,268754944,194953216,196,40
1790273377260,236441600,162213888,173,18
1790273382277,236441600,162222080,173,18
1790273387297,268111872,193687552,194,38
1790273392303,268148736,193691648,194,38
1790273397318,237510656,164270080,172,18
1790273402333,237490176,164241408,173,17
1790273407341,268378112,194269184,189,32
1790273412345,268410880,194306048,189,32
1790273417349,267612160,193081344,173,17
1790273422358,291074048,234000384,206,34
1790273427363,268791808,194379776,191,34
1790273432380,268894208,194416640,191,35
1790273437389,267988992,193032192,173,18
1790273442399,271257600,197214208,191,35
1790273447408,271257600,197214208,191,35
1790273452414,270352384,195825664,173,18
1790273457422,270352384,195825664,172,18
1790273462431,270893056,196657152,194,38
1790273467444,270893056,196657152,194,38
1790273472458,269828096,195022848,173,18
1790273477464,269828096,195022848,173,18
1790273482473,246767616,172797952,194,38
1790273487480,246767616,174215168,194,38
1790273492497,245743616,175411200,172,18
1790273497515,245743616,175411200,173,18
1790273502526,268521472,194248704,189,33
1790273507531,268521472,194256896,189,33
1790273512545,267722752,193036288,173,18
1790273517563,269312000,194510848,207,36
1790273522568,269320192,194514944,192,36
1790273527587,269320192,194519040,192,36
1790273532596,268341248,193011712,172,17
1790273537606,244604928,170225664,192,35
1790273542617,244797440,170287104,192,35
1790273547636,243855360,170692608,174,17
1790273552642,243855360,170708992,173,17
1790273557661,269201408,194514944,195,38
1790273562668,269217792,194519040,195,38
1790273567681,268099584,192806912,172,17
1790273572689,268099584,192806912,173,17
1790273577701,271101952,197263360,192,35
1790273582718,271101952,197267456,192,35
1790273587735,237441024,161984512,173,17
1790273592744,293527552,247242752,208,36
1790273597750,268996608,194277376,193,36
1790273602768,268996608,194281472,193,36
1790273607782,267984896,192729088,173,17
1790273612799,277925888,203194368,194,37
1790273617813,271204352,196435968,194,37
1790273622824,270139392,194797568,173,17
1790273627842,270139392,194797568,172,17
1790273632854,271142912,196284416,192,35
1790273637870,271142912,196284416,192,35
1790273642881,270184448,194809856,173,17
1790273647900,270184448,194809856,173,17
1790273652908,271282176,196456448,194,37
1790273657922,271282176,196456448,194,37
1790273662940,270217216,194818048,172,17
1790273667960,270217216,194818048,173,17
1790273672976,271306752,196505600,194,37
1790273677981,271306752,196505600,194,37
1790273682996,270241792,194867200,173,17
1790273688004,271396864,196521984,208,36
1790273693011,271409152,196526080,193,36
1790273698028,271409152,196526080,193,36
1790273703034,270397440,194969600,173,17
1790273708041,271413248,196526080,193,36
1790273713054,271413248,196526080,193,36
1790273718074,270401536,194969600,173,17
1790273723085,270401536,194969600,172,17
1790273728093,271843328,197398528,191,34
1790273733118,271863808,197431296,191,35
1790273738148,270958592,196042752,172,18
1790273743171,270958592,196042752,173,18
1790273748178,272183296,197922816,197,41
1790273753203,272183296,197922816,197,41
1790273758216,270958592,196042752,172,18
1790273763223,270958592,196042752,173,18
1790273768243,271765504,197275648,189,33
1790273773253,271765504,197275648,189,33
1790273778271,270966784,196050944,173,18
1790273783279,270966784,196050944,172,18
1790273788286,271978496,197603328,193,37
1790273793292,271978496,197603328,193,37
1790273798297,270966784,196050944,173,18
1790273803317,294084608,226254848,210,37
1790273808326,272011264,197652480,194,37
1790273813338,272011264,197652480,193,37
1790273818344,270946304,196014080,173,17
1790273823353,274178048,199827456,194,37
1790273828362,272011264,197652480,194,37
1790273833367,270946304,196014080,173,17
1790273838376,270946304,196014080,172,17
1790273843387,271867904,197427200,191,34
1790273848395,271867904,197427200,191,34
1790273853413,270962688,196034560,173,17
1790273858425,270962688,196034560,173,17
1790273863437,271863808,197427200,191,34
1790273868451,271863808,197427200,191,34
1790273873463,270958592,196034560,172,17
1790273878482,270958592,196034560,173,17
1790273883492,272855040,198610944,198,41
1790273888508,272855040,198610944,198,41
1790273893527,271577088,196644864,173,17
1790273898540,271577088,196644864,172,17
1790273903553,273141760,199241728,195,38
1790273908567,273141760,199241728,195,38
1790273913577,272023552,197521408,173,17
1790273918592,274681856,200241152,191,34
1790273923608,273371136,198926336,191,34
1790273928628,273371136,198926336,191,34
1790273933647,272465920,197533696,172,17
1790273938664,277811200,203440128,193,36
1790273943682,273481728,199094272,193,36
1790273948699,272470016,197537792,173,17
1790273953716,272470016,197537792,172,17
1790273958725,273551360,199184384,194,37
1790273963747,273551360,199184384,194,37
1790273968753,272486400,197545984,173,17
1790273973767,272486400,197545984,173,17
1790273978773,274857984,200757248,191,34
1790273983785,274857984,200757248,191,34
1790273988793,273952768,199364608,172,17
1790273993799,273952768,199364608,173,17
1790273998817,274608128,199639040,190,33
1790274003838,274608128,199639040,190,33
1790274008848,273756160,198328320,173,17
1790274013872,309686272,258695168,205,33
1790274018882,274636800,199684096,190,33
1790274023895,274636800,199684096,190,33
1790274028903,273784832,198373376,173,17
1790274033916,282976256,215748608,196,39
1790274038933,274968576,200175616,196,39
1790274043949,274968576,200175616,196,39
1790274048961,273797120,198373376,172,17
1790274053972,283435008,210948096,192,35
1790274058980,274759680,199852032,191,35
1790274063990,273801216,198377472,174,17
1790274068998,273801216,198377472,172,17
1790274074007,274870272,200019968,194,37
1790274079013,274870272,200019968,194,37
1790274084032,273805312,198381568,173,17
1790274089046,273805312,198381568,173,17
1790274094064,274874368,200024064,194,37
1790274099083,274874368,200024064,194,37
1790274104101,273809408,198385664,172,17
1790274109107,273809408,198385664,173,17
1790274114115,274714624,199778304,191,34
1790274119125,274714624,199778304,191,34
1790274124135,273809408,198385664,173,17
1790274129151,309026816,257949696,209,37
1790274134158,274874368,200032256,194,37
1790274139173,274874368,200032256,194,37
1790274144180,273809408,198393856,173,17
